index,steps,fell,goal_quiet_median_m,unified_median_m,unified_pushed_median_m,force_cmd_mean_n,force_realised_mean_n,estimator_err_median_n,base_vel_err_median_m_s
0,1001,0,0.03834,0.03939,0.03998,1.22416,-0.41424,1.14802,0.07636
1,1001,0,0.03055,0.02482,0.02394,0.00000,,1.32101,0.04086
2,1001,0,0.02535,0.04425,0.05367,2.44448,1.87030,1.51058,0.05286
3,1001,0,0.02452,0.02527,0.02631,1.28324,-1.51129,0.77458,0.02283
4,1001,0,0.01968,0.02629,0.03323,3.84142,1.24301,1.07282,0.05347
5,1001,0,0.02519,0.02867,0.03002,2.30807,7.13232,1.90051,0.05244
6,1001,0,0.03638,0.02624,0.02459,4.02047,6.01101,1.60754,0.05295
7,1001,0,0.02347,0.03669,0.03977,3.84606,2.68382,1.61421,0.06374
8,1001,0,0.02706,0.02837,0.02924,5.88210,4.96193,1.18158,0.04767
9,1001,0,0.10671,0.03254,0.03211,3.88735,1.15039,0.91744,0.04200
10,1001,0,0.03524,0.03573,0.03625,2.66947,-1.03882,1.07634,0.06127
11,1001,0,0.45295,0.06739,0.05470,2.60339,-0.22770,1.68375,0.08852
12,1001,0,0.03105,0.03453,0.03593,1.83798,4.30718,1.72423,0.07228
13,1001,0,0.02099,0.03345,0.03961,2.27452,4.75674,1.11795,0.05425
14,1001,0,0.03866,0.05319,0.06157,2.57131,-4.38768,0.94637,0.07043
15,1001,0,0.03208,0.03315,0.03318,5.83394,5.74998,1.94971,0.05078
16,1001,0,0.03365,0.02859,0.02853,4.89948,2.20995,0.99964,0.06443
17,1001,0,0.03093,0.03318,0.03548,3.31076,5.62688,1.17390,0.04624
18,1001,0,0.02260,0.02823,0.03654,3.06887,12.48169,1.37568,0.04338
19,1001,0,0.07630,0.04792,0.04582,4.12803,-5.23640,1.01331,0.07491
20,1001,0,0.01976,0.02645,0.02743,3.59631,5.92696,0.87308,0.04687
21,1001,0,0.02307,0.02452,0.02472,3.32969,5.51672,1.38434,0.06765
22,1001,0,0.22207,0.03169,0.03150,2.99525,5.70191,0.93451,0.04482
23,1001,0,0.04009,0.02720,0.02587,3.98470,6.39493,1.56561,0.03943
24,1001,0,0.01954,0.03256,0.03497,3.37549,4.97490,1.02901,0.06034
25,1001,0,0.13481,0.03581,0.03581,2.15389,3.99331,1.03240,0.07042
26,1001,0,0.01200,0.02443,0.02505,2.13293,1.32371,1.77988,0.02266
27,1001,0,0.01382,0.01782,0.01971,1.78638,0.41509,0.78825,0.04368
28,1001,0,0.02417,0.04844,0.05107,2.79656,5.78999,1.21542,0.04738
29,1001,0,0.15453,0.06101,0.05653,2.25904,7.51180,1.63606,0.04814
30,1001,0,0.01886,0.02768,0.02802,4.27958,4.34586,1.26629,0.05325
31,1001,0,0.02469,0.02784,0.02969,3.16744,2.89001,1.41211,0.04850
32,1001,0,0.03423,0.03474,0.03482,1.72784,1.20347,1.40293,0.02643
33,1001,0,0.02764,0.02888,0.03008,2.97927,1.66748,1.26891,0.07534
34,1001,0,0.02364,0.02700,0.02743,3.22867,2.56924,1.40390,0.02788
35,1001,0,0.02241,0.03073,0.03171,3.99519,6.56991,1.22487,0.05678
36,1001,0,0.04103,0.04022,0.04013,1.92209,-2.23111,0.94860,0.07864
37,1001,0,0.03178,0.03609,0.03753,3.71317,0.45410,1.19506,0.05599
38,1001,0,0.03191,0.03035,0.03018,3.20167,7.06994,1.28329,0.06487
39,1001,0,0.02601,0.03030,0.03145,2.36670,7.22631,1.24889,0.03869
40,1001,0,0.02186,0.02745,0.03085,3.75219,1.65757,1.71412,0.02770
41,1001,0,0.02805,0.02259,0.02080,4.00829,4.76718,2.28080,0.03447
42,1001,0,0.02314,0.02708,0.03001,4.11403,6.84902,0.78901,0.03485
43,1001,0,0.02717,0.03407,0.03664,3.85827,6.69065,1.30034,0.01226
44,1001,0,0.02047,0.03582,0.03610,4.71934,2.11927,1.83932,0.03126
45,1001,0,0.02356,0.02788,0.02839,3.91638,1.40040,2.14486,0.03974
46,1001,0,0.05107,0.05555,0.05606,3.94101,-1.64427,1.23506,0.04924
47,1001,0,0.02506,0.03068,0.03068,3.64276,2.86453,2.18641,0.07667
48,1001,0,0.01674,0.03429,0.04112,2.09613,18.65411,1.17552,0.03737
49,1001,0,0.02422,0.02799,0.02927,4.56847,4.37195,0.85861,0.03087
